patient_key,patient_id,patient_signature,member_id,group_id,network,patient_ssn,first_name,last_name,date_of_birth,gender,phone_number,address_line_1,address_line_2,city,state,zip_code,country,full_address,pcp_id,patient_status,source_system,source_record_id,ingestion_id,ingested_at,processed_at,created_at,updated_at,last_modified_at,record_hash,record_status,is_active
100014,P00014,c861ec0a3509f571962b4ae88774991d311e5078d777fdf2cbcd2ea4e7780883,MEM7000014,GRP1014,OakStreet-East,509-38-7163,Mark,Williams,1983-12-14,M,+12716404901,3824 Washington Rd,,San Antonio,TX,78205,USA,"3824 Washington Rd, San Antonio, TX 78205, USA",PCP0009,Active,EHR,P00014,ING-PAT-20261005-00014,2026-10-05T09:58:42,2026-10-05T10:00:42,2024-06-05T10:00:42,2026-10-05T10:00:42,2026-10-05T06:30:42,7d3880e1a707edbb5264e6f1cca6eaf18365e668af650d78c4e005b14bab583f,CURRENT,True
100015,P00015,a32af2c3296e7ded200ade2ec78bf0e6d03e2758d1d30a1eb315a03b4317061b,MEM7000015,GRP1015,OakStreet-Southwest,523-49-6189,Mark,Thompson,1963-05-05,M,+19046869656,6633 Pine Rd,,Houston,TX,77002,USA,"6633 Pine Rd, Houston, TX 77002, USA",PCP0056,Active,EHR,P00015,ING-PAT-20261005-00015,2026-10-05T09:58:45,2026-10-05T10:00:45,2023-11-13T10:00:45,2026-10-05T10:00:45,2026-10-05T07:49:45,750574b920b3c4bb582141c8ffc267f037d58052a6c28429e46f838fa130d2d1,CURRENT,True
100016,P00016,fab0050ee81eaa23c995743447166e3a9425a98a735447e91589a576bf91e6e6,MEM7000016,GRP1016,OakStreet-Central,292-24-0396,Mary,Ramirez,1973-12-28,M,+18038444893,8025 Main Rd,,Orlando,FL,32801,USA,"8025 Main Rd, Orlando, FL 32801, USA",PCP0068,Active,EHR,P00016,ING-PAT-20261005-00016,2026-10-05T09:58:48,2026-10-05T10:00:48,2022-12-21T10:00:48,2026-10-05T10:00:48,2026-10-05T08:21:48,4347a52366e66ec0d3decc7ca90127bc57eb73e0d1c47630422e37047020de2e,CURRENT,True
100017,P00017,c60756e900802feb62a1d488b91ed2115c241ee2cec21c03331513c7dc97c5e8,MEM7000017,GRP1017,OakStreet-South,846-42-1605,John,Jones,1989-10-07,F,+16686851300,8378 Pine St,Apt 158,Houston,TX,77005,USA,"8378 Pine St Apt 158, Houston, TX 77005, USA",PCP0009,Active,EHR,P00017,ING-PAT-20261005-00017,2026-10-05T09:58:51,2026-10-05T10:00:51,2021-12-29T10:00:51,2026-10-05T10:00:51,2026-10-05T07:55:51,16f585196c55f11daa6f965f74d483b33a2272e8eeca2b10aaf0fc9460fc6142,CURRENT,True
100018,P00018,64fe4da3bd8a749405f517d5e865fd5caabe0dfc0e56c9a0882f9a25a4493904,MEM7000018,GRP1018,OakStreet-East,715-21-2597,Daniel,Robinson,1981-05-09,M,+12417017661,7560 Pine Blvd,Apt 124,Austin,TX,78701,USA,"7560 Pine Blvd Apt 124, Austin, TX 78701, USA",PCP0007,Active,EHR,P00018,ING-PAT-20261005-00018,2026-10-05T09:58:54,2026-10-05T10:00:54,2023-11-11T10:00:54,2026-10-05T10:00:54,2026-10-05T06:54:54,76026018cd36afa08fa71ed51b65625060407cd6f031acdd9ef332e25884d3ef,CURRENT,True
100019,P00019,8e4dc01808eae8d9f1f61cc84581a093c02fbe72204410bb5d160c32f4d95ee0,MEM7000019,GRP1019,OakStreet-Southwest,721-28-0106,Lisa,Smith,1991-03-20,M,+13129023387,9157 Main St,,Austin,TX,78701,USA,"9157 Main St, Austin, TX 78701, USA",PCP0060,Active,EHR,P00019,ING-PAT-20261005-00019,2026-10-05T09:58:57,2026-10-05T10:00:57,2021-12-07T10:00:57,2026-10-05T10:00:57,2026-10-05T07:46:57,4ecd873cb1531642c71417bb804d46efec8e6c8cea7bf8d4e8d11de10003c756,CURRENT,True
100020,P00020,1b88c809b3cd78476e4b53831aa532fd7a9fca7341d0425e824b0c01e3cf9d5a,MEM7000020,GRP1020,OakStreet-Central,494-42-2185,Jessica,Brown,1953-01-05,M,+17926965127,7074 Pine Rd,,Houston,TX,77005,USA,"7074 Pine Rd, Houston, TX 77005, USA",PCP0033,Active,EHR,P00020,ING-PAT-20261005-00020,2026-10-05T09:59:00,2026-10-05T10:01:00,2022-03-15T10:01:00,2026-10-05T10:01:00,2026-10-05T07:38:00,a8015a1a4aecb849c1314e90db50bf0790990943e26abda2d9a2bb4d9009aa2b,CURRENT,True
100021,P00021,6eee6b0e0a8e772ca407a08d2045c03cb18de02ba4bb283a4f42b5c840d1af06,MEM7000021,GRP1021,OakStreet-South,749-13-5024,Karen,Robinson,1996-04-02,M,+19554657802,819 Lake St,,Atlanta,GA,30303,USA,"819 Lake St, Atlanta, GA 30303, USA",PCP0075,Active,EHR,P00021,ING-PAT-20261005-00021,2026-10-05T09:59:03,2026-10-05T10:01:03,2022-05-03T10:01:03,2026-10-05T10:01:03,2026-10-05T07:11:03,85b6d0343f1481f50aff54b8aa3602d801d68376d83ce2fe9f9d75e6da37ffb2,CURRENT,True
100022,P00022,1d6a4dd0175dca04cdaf828e30e9de6a12c29c26d20bf7c79b764ae6362346b6,MEM7000022,GRP1022,OakStreet-East,669-83-1079,Matthew,Clark,1942-12-11,M,+16559775699,7133 Park St,,Chicago,IL,60601,USA,"7133 Park St, Chicago, IL 60601, USA",PCP0029,Active,EHR,P00022,ING-PAT-20261005-00022,2026-10-05T09:59:06,2026-10-05T10:01:06,2025-02-24T10:01:06,2026-10-05T10:01:06,2026-10-05T08:01:06,7dee93b011a8b1b9d09053cb7458ce499e5ce5d95bf2f5bf05a2f812dae3d511,CURRENT,True
100023,P00023,9b929571a4343ccdc9eaef77114313a02ef1173f43cbb8c2b3805dabc4a3cd38,MEM7000023,GRP1023,OakStreet-Southwest,133-47-1241,Susan,Jackson,1938-03-10,F,+19634978393,6965 Market St,,Atlanta,GA,30303,USA,"6965 Market St, Atlanta, GA 30303, USA",PCP0079,Active,EHR,P00023,ING-PAT-20261005-00023,2026-10-05T09:59:09,2026-10-05T10:01:09,2025-04-13T10:01:09,2026-10-05T10:01:09,2026-10-05T09:14:09,2fbea90b6510e6437a45964bb4fc60f07385bb1d78ec79911c1b70f13d08ba4e,CURRENT,True
100024,P00024,a9769df6393e0fb77f89c254c66d14794ae086e6dde69d6ad5260c61f43d66d1,MEM7000024,GRP1024,OakStreet-Central,719-69-9651,Joseph,Hernandez,1992-06-20,F,+14685608840,7117 Lake St,,Chicago,IL,60601,USA,"7117 Lake St, Chicago, IL 60601, USA",PCP0035,Active,EHR,P00024,ING-PAT-20261005-00024,2026-10-05T09:59:12,2026-10-05T10:01:12,2022-06-25T10:01:12,2026-10-05T10:01:12,2026-10-05T09:41:12,ec1f0b1f63c8b21c46a8505bb3a1b02a60edd79af11f7f1722fd4cb41a37d121,CURRENT,True
100025,P00025,0d8f2aa76d238b23bfe55e021504ef0be9d1ec650e039befff838d99f2d040ce,MEM7000025,GRP1025,OakStreet-South,282-80-7497,Elizabeth,Harris,1963-03-28,F,+14606221720,9739 Park Rd,,Dallas,TX,75201,USA,"9739 Park Rd, Dallas, TX 75201, USA",PCP0016,Active,EHR,P00025,ING-PAT-20261005-00025,2026-10-05T09:59:15,2026-10-05T10:01:15,2022-04-10T10:01:15,2026-10-05T10:01:15,2026-10-05T09:30:15,93069b70a66646f4b10af6167a74dba263c034d5b625ab145b6ab7e5fe3fc4f8,CURRENT,True
100026,P00026,f3c4162503e410e632f5e9cad0c4535c364be65805f8f618003320145e6d9597,MEM7000026,GRP1026,OakStreet-East,723-85-8872,John,Jones,1969-04-21,M,+16028475571,1522 Lake Blvd,,Chicago,IL,60601,USA,"1522 Lake Blvd, Chicago, IL 60601, USA",PCP0117,Active,EHR,P00026,ING-PAT-20261005-00026,2026-10-05T09:59:18,2026-10-05T10:01:18,2023-05-26T10:01:18,2026-10-05T10:01:18,2026-10-05T08:49:18,850a27afa41f8ac5b8e6b62b05e893b13ce1f40c334df1705dc018ea8ea36df0,CURRENT,True
100027,P00027,3863ba34156e3ae490d78db154c46d47d61c41d3b05060decd6978bddd3ee0a9,MEM7000027,GRP1027,OakStreet-Southwest,540-28-7730,David,Martin,1950-09-20,M,+13576135384,6942 Main St,,Austin,TX,78701,USA,"6942 Main St, Austin, TX 78701, USA",PCP0044,Active,EHR,P00027,ING-PAT-20261005-00027,2026-10-05T09:59:21,2026-10-05T10:01:21,2024-04-29T10:01:21,2026-10-05T10:01:21,2026-10-05T06:05:21,1e91cd41aa1ed5b9c2313e80a46c9e2be03fbe6b70082688e0571fb07b44f10e,CURRENT,True
100028,P00028,108eab1358d3a82eaf57ed2cf0aad76821ea2c43e02850f7e3fcbb9e25164b8e,MEM7000028,GRP1028,OakStreet-Central,802-58-3948,Barbara,Harris,2001-05-22,F,+14546912445,5347 Lake St,,Atlanta,GA,30303,USA,"5347 Lake St, Atlanta, GA 30303, USA",PCP0017,Active,EHR,P00028,ING-PAT-20261005-00028,2026-10-05T09:59:24,2026-10-05T10:01:24,2025-07-24T10:01:24,2026-10-05T10:01:24,2026-10-05T07:59:24,e341a746cede351fdbab24f41e589ec33fc11cd2a5572462477c956e838f66c0,CURRENT,True
100029,P00029,cee65a32a6c0d9a73fdda48301fb35c8ca8f4f0297ed0d233b9f2777c7dda8d8,MEM7000029,GRP1029,OakStreet-South,664-48-1864,John,Gonzalez,1968-09-10,F,+17802508375,7968 Lake Ave,Apt 366,Houston,TX,77024,USA,"7968 Lake Ave Apt 366, Houston, TX 77024, USA",PCP0039,Active,EHR,P00029,ING-PAT-20261005-00029,2026-10-05T09:59:27,2026-10-05T10:01:27,2023-04-17T10:01:27,2026-10-05T10:01:27,2026-10-05T09:10:27,3949c24f47f5018bc8fb367633c91774c66b3c662fb166fdb59a95ae6a87101d,CURRENT,True
100030,P00030,7e4b968d1361aee9abad70f201963e55db68bd65fde034a3340b97e440f4e11d,MEM7000030,GRP1030,OakStreet-East,691-35-2385,John,Ramirez,1990-04-21,F,+15955681469,1469 Oak Ave,,Chicago,IL,60601,USA,"1469 Oak Ave, Chicago, IL 60601, USA",PCP0063,Inactive,EHR,P00030,ING-PAT-20261005-00030,2026-10-05T09:59:30,2026-10-05T10:01:30,2024-02-24T10:01:30,2026-10-05T10:01:30,2026-10-05T07:05:30,55f75e645fb0ab9256ee2e4c3e6e4fab5019dca13fe39009936cea681bf78442,CURRENT,True
100031,P00031,80c8c6d242363ccbddbc086fb1a47f5f32dff2d1fe23c000bb2b6491ce39b8c8,MEM7000031,GRP1031,OakStreet-Southwest,538-64-1844,Matthew,Anderson,1955-06-01,F,+14663629545,4467 Lake Blvd,,Dallas,TX,75201,USA,"4467 Lake Blvd, Dallas, TX 75201, USA",PCP0101,Active,EHR,P00031,ING-PAT-20261005-00031,2026-10-05T09:59:33,2026-10-05T10:01:33,2023-09-10T10:01:33,2026-10-05T10:01:33,2026-10-05T08:32:33,a2715535d0fe9cbf4ff884a1b5d3e4feef67f6ce268d43f6695d07fb5b77e3f5,CURRENT,True
100032,P00032,860ae368abc8674d70a745d8a3561c1d81edf08d109f96740fcda45fea48fb38,MEM7000032,GRP1032,OakStreet-Central,572-15-9733,Anthony,Brown,1962-12-05,F,+13169364405,1817 Park Ave,,San Antonio,TX,78205,USA,"1817 Park Ave, San Antonio, TX 78205, USA",PCP0067,Active,EHR,P00032,ING-PAT-20261005-00032,2026-10-05T09:59:36,2026-10-05T10:01:36,2023-02-12T10:01:36,2026-10-05T10:01:36,2026-10-05T06:01:36,0c8e1127fd578a3c99d0dc1902bd36dec86bae4116d73e28c986e771a647c7f9,CURRENT,True
100033,P00033,f4534baad5c64dc7f808a57fb78c0b7a13eb81a3e592c0e7542d8bee1a608e67,MEM7000033,GRP1033,OakStreet-South,616-32-8656,Jessica,Miller,1986-10-14,M,+18999142149,8281 Washington Rd,,San Antonio,TX,78205,USA,"8281 Washington Rd, San Antonio, TX 78205, USA",PCP0039,Active,EHR,P00033,ING-PAT-20261005-00033,2026-10-05T09:59:39,2026-10-05T10:01:39,2024-12-06T10:01:39,2026-10-05T10:01:39,2026-10-05T06:17:39,93bf4d1abd66358213b52990924b05db5691c37fc81e815414a8cd8016ce115c,CURRENT,True
100034,P00034,3e350f1371f0c449513b716843d95281968eda051c743959b5d5731b9f7868bd,MEM7000034,GRP1034,OakStreet-East,318-59-5700,Karen,Brown,1944-07-05,F,+15617399612,8942 Lake St,Apt 234,Atlanta,GA,30303,USA,"8942 Lake St Apt 234, Atlanta, GA 30303, USA",PCP0070,Active,EHR,P00034,ING-PAT-20261005-00034,2026-10-05T09:59:42,2026-10-05T10:01:42,2025-02-25T10:01:42,2026-10-05T10:01:42,2026-10-05T08:08:42,bda1250079f031c3965d581131e448edcd3cd9708fef1a3d9b56f71626fcf8ed,CURRENT,True
100035,P00035,c1b6c2bd56cb6bbb42dd08275efcb804ce9f51db0879c9dbda4ffd35315e3005,MEM7000035,GRP1035,OakStreet-Southwest,165-65-4310,Daniel,Harris,1970-02-11,M,+18307876664,4745 Washington Blvd,,Orlando,FL,32801,USA,"4745 Washington Blvd, Orlando, FL 32801, USA",PCP0078,Active,EHR,P00035,ING-PAT-20261005-00035,2026-10-05T09:59:45,2026-10-05T10:01:45,2023-12-30T10:01:45,2026-10-05T10:01:45,2026-10-05T08:11:45,64fc19643fd1965dc2d61c6beda505f836a3da0c8d0805e5bf4d169cde2b53b8,CURRENT,True
100036,P00036,7a1b5c672a6b79fdf8d1cca763a5c4cd29ba77f6f5d3dee4e2b8409bb07fa353,MEM7000036,GRP1036,OakStreet-Central,419-87-4424,Karen,Lopez,1935-04-16,M,+19053321794,5412 Market St,,Houston,TX,77005,USA,"5412 Market St, Houston, TX 77005, USA",PCP0060,Active,EHR,P00036,ING-PAT-20261005-00036,2026-10-05T09:59:48,2026-10-05T10:01:48,2023-10-02T10:01:48,2026-10-05T10:01:48,2026-10-05T06:55:48,3f37cb9533fab5fb5e3d26fb6e2b1f8701404f7e5df404b45dd013ea344ed2f8,CURRENT,True
100037,P00037,308dbfad1e03ac07dd0c28431828b27c26f7b2d6531b16370a19efb9ef4ad83f,MEM7000037,GRP1037,OakStreet-South,880-57-0590,Jessica,Martinez,1979-08-22,F,+16954224377,3745 Park Ave,,Houston,TX,77005,USA,"3745 Park Ave, Houston, TX 77005, USA",PCP0081,Active,EHR,P00037,ING-PAT-20261005-00037,2026-10-05T09:59:51,2026-10-05T10:01:51,2022-07-18T10:01:51,2026-10-05T10:01:51,2026-10-05T08:34:51,c73ece26661f8d823390a0a3c732eccbda0dd6dfe4b64198de0f7b451d18c4ad,CURRENT,True
100038,P00038,245bd3830aa8d823f7f47f74af4869fc87fdd8c3e2398ed88d500034a48749e5,MEM7000038,GRP1038,OakStreet-East,554-19-5963,Barbara,Thompson,1999-02-05,F,+13738304142,3912 Lake St,Apt 193,Atlanta,GA,30303,USA,"3912 Lake St Apt 193, Atlanta, GA 30303, USA",PCP0024,Active,EHR,P00038,ING-PAT-20261005-00038,2026-10-05T09:59:54,2026-10-05T10:01:54,2025-02-15T10:01:54,2026-10-05T10:01:54,2026-10-05T09:35:54,9062ceeaf8f3ecbf35b88ca8d9ff8ab81dc8efb6446f8099629e5cdf3a9e840d,CURRENT,True
100039,P00039,71ceacd0f6a23c2c15eb8978a69a627dee1750b5f90ba2bb400f8eedf32527e4,MEM7000039,GRP1039,OakStreet-Southwest,375-36-9728,James,Smith,1982-07-15,F,+19542556588,7066 Park St,,San Antonio,TX,78205,USA,"7066 Park St, San Antonio, TX 78205, USA",PCP0033,Active,EHR,P00039,ING-PAT-20261005-00039,2026-10-05T09:59:57,2026-10-05T10:01:57,2023-02-22T10:01:57,2026-10-05T10:01:57,2026-10-05T06:01:57,faaabf2541b0a2c359b61d8a3a5b85701133d941547fa7c2462fcc5216519eb2,CURRENT,True
100040,P00040,069d55b3704cc1b13551dcb8c5e3cb43999780fa560bcae451ec567fe4cec8cb,MEM7000040,GRP1000,OakStreet-Central,811-75-1786,Mary,Lopez,1986-09-22,F,+12762521705,7156 Oak Rd,,San Antonio,TX,78205,USA,"7156 Oak Rd, San Antonio, TX 78205, USA",PCP0094,Active,EHR,P00040,ING-PAT-20261005-00040,2026-10-05T10:00:00,2026-10-05T10:02:00,2022-06-02T10:02:00,2026-10-05T10:02:00,2026-10-05T08:11:00,263d86f0df59c22cb94d13debbd12a6d9308adad23cf34ba51f8eea749e1507f,CURRENT,True
100041,P00041,432c100a83e5b6e1727174f053cc2f32555fe111e7ebae5fc62c8b2d2ed5fe95,MEM7000041,GRP1001,OakStreet-South,178-95-8130,Lisa,Jones,1937-10-24,M,+12997992908,1611 Lake St,,Orlando,FL,32801,USA,"1611 Lake St, Orlando, FL 32801, USA",PCP0069,Active,EHR,P00041,ING-PAT-20261005-00041,2026-10-05T10:00:03,2026-10-05T10:02:03,2025-06-24T10:02:03,2026-10-05T10:02:03,2026-10-05T09:17:03,244cb0dd2416dc8ac31a3baa944c4f1d758c2446e6b25cbcb9d16870bb94c5ad,CURRENT,True
100042,P00042,63f35874f3c9a71d8989dbab7fcb3747912a0d779c33abb5675e5a0dd82fd9d9,MEM7000042,GRP1002,OakStreet-East,454-66-6599,Jessica,Perez,1999-10-07,F,+19513657805,427 Lake Blvd,,Chicago,IL,60601,USA,"427 Lake Blvd, Chicago, IL 60601, USA",PCP0019,Active,EHR,P00042,ING-PAT-20261005-00042,2026-10-05T10:00:06,2026-10-05T10:02:06,2025-09-06T10:02:06,2026-10-05T10:02:06,2026-10-05T09:46:06,919ba040b5b851987678b266fcf9b09987aa0dc6c11a04eba9a0bf30e4b76d2a,CURRENT,True
100043,P00043,c93df2a783610e62167fed47db10461ec22b807a13541e5b3342080a1cc04689,MEM7000043,GRP1003,OakStreet-Southwest,685-61-4230,Charles,Wilson,1995-03-13,F,+19654183551,3902 Park Blvd,,Orlando,FL,32801,USA,"3902 Park Blvd, Orlando, FL 32801, USA",PCP0033,Active,EHR,P00043,ING-PAT-20261005-00043,2026-10-05T10:00:09,2026-10-05T10:02:09,2024-05-10T10:02:09,2026-10-05T10:02:09,2026-10-05T09:36:09,cb5c96e37d581b3a0eaab871627eb7d004e5304e1915688e8dbed8f35644f0d7,CURRENT,True
100044,P00044,91755cd7544d1973285c5fa89a75305501cd7d311517ae34ed61e5de540b6521,MEM7000044,GRP1004,OakStreet-Central,155-29-0868,Linda,Hernandez,1948-03-12,F,+19534881025,2816 Oak St,,Atlanta,GA,30303,USA,"2816 Oak St, Atlanta, GA 30303, USA",PCP0113,Active,EHR,P00044,ING-PAT-20261005-00044,2026-10-05T10:00:12,2026-10-05T10:02:12,2022-11-07T10:02:12,2026-10-05T10:02:12,2026-10-05T07:14:12,48c5df0f034105dd2dd84cf0d7c8f5eb3fc382df8bcff9301cc67c234294e953,CURRENT,True
100045,P00045,020e56a398054c9bcd6f295aa6c4d3bbaec4b4c0193095e8cc89b8563288ff7a,MEM7000045,GRP1005,OakStreet-South,752-38-7418,Mark,Smith,1994-05-05,F,+18695161965,3995 Pine Ave,,Atlanta,GA,30303,USA,"3995 Pine Ave, Atlanta, GA 30303, USA",PCP0057,Active,EHR,P00045,ING-PAT-20261005-00045,2026-10-05T10:00:15,2026-10-05T10:02:15,2023-12-06T10:02:15,2026-10-05T10:02:15,2026-10-05T08:59:15,534edd8c851bcb5f5a14c64cb90e8911f0bb0257984455d11061a34a7f47e754,CURRENT,True
